"sentID"	"nw"	"wordID"	"length"	"freq"	"code"1	11	1	3	112.096683	9
1	11	2	3	532.671797	9
1	11	3	10	3.237331	9
1	11	4	4	6557.467940	9
1	11	5	3	20527.116504	9
1	11	6	5	19.113335	0
1	11	7	5	39.976136	1
1	11	8	2	13129.422120	2
1	11	9	5	681.172107	9
1	11	10	6	228.517983	9
1	11	11	9	37.556313	9
2	10	1	2	1397.480704	9
2	10	2	3	3089.010824	9
2	10	3	6	133.400939	9
2	10	4	11	3.409008	9
2	10	5	3	7955.341048	9
2	10	6	3	24738.590200	9
2	10	7	6	388.406178	0
2	10	8	5	39.812635	1
2	10	9	6	935.163637	2
2	10	10	5	38.447397	9
3	10	1	3	4044.097128	9
3	10	2	5	257.040834	9
3	10	3	5	150.143501	9
3	10	4	5	1349.337664	9
3	10	5	2	4943.658296	9
3	10	6	5	2265.551467	9
3	10	7	3	9532.828816	9
3	10	8	5	14.306388	0
3	10	9	5	38.815275	1
3	10	10	12	0.269778	2
4	8	1	3	2241.958189	9
4	8	2	6	343.524994	9
4	8	3	4	982.399243	9
4	8	4	8	3.678786	0
4	8	5	5	38.447397	1
4	8	6	4	186.465377	2
4	8	7	5	1088.250166	9
4	8	8	11	0.465980	9
5	7	1	7	0.106276	9
5	7	2	9	2.575150	9
5	7	3	3	20527.116504	9
5	7	4	10	0.204377	0
5	7	5	5	38.177619	1
5	7	6	3	20527.116504	2
5	7	7	5	156.798015	9
6	9	1	3	562.600761	9
6	9	2	7	8.273180	9
6	9	3	10	0.294303	9
6	9	4	3	532.671797	9
6	9	5	3	9532.828816	9
6	9	6	6	2.509749	0
6	9	7	5	37.589013	1
6	9	8	2	4320.938003	2
6	9	9	4	19.497563	9
7	10	1	3	2141.380192	9
7	10	2	5	30.076116	9
7	10	3	4	70.951511	9
7	10	4	3	9532.828816	9
7	10	5	8	66.733170	0
7	10	6	5	37.335586	1
7	10	7	13	0.376054	2
7	10	8	2	13129.422120	9
7	10	9	3	20527.116504	9
7	10	10	5	10.128923	9
8	11	1	3	322.367890	9
8	11	2	3	5100.873240	9
8	11	3	7	55.803089	0
8	11	4	5	36.542603	1
8	11	5	4	154.370017	2
8	11	6	2	4943.658296	9
8	11	7	7	118.612221	9
8	11	8	3	4621.552008	9
8	11	9	8	14.657917	9
8	11	10	3	4142.647706	9
8	11	11	3	4963.736290	9
