"run" "sentID" "word" "fixdur"
1 1 1 165.667861671534
1 1 2 316.496118254131
1 1 3 211.912304540638
1 1 4 205.663052103105
1 1 6 135.094053002859
1 1 6 136.200510738672
1 1 7 254.774922076744
1 1 9 208.427692019452
1 1 11 262.545082364381
1 2 1 243.7872167241
1 2 3 279.544508124063
1 2 4 175.423298726749
1 2 9 233.8998228141
1 2 6 307.358959403333
1 2 7 120.032322893267
1 2 8 138.839153455104
1 2 10 146.7308881939
1 3 1 155.654186769393
1 3 3 308.970477933091
1 3 4 340.441093966142
1 3 2 210.287073140918
1 3 5 262.016254242704
1 3 7 319.947634167723
1 3 8 212.834153351158
1 3 9 69.3478199910717
1 3 9 205.4787299264
1 3 10 129.482026332646
1 4 1 176.124438479376
1 4 2 144.699736355849
1 4 3 337.349578768281
1 4 4 125.328659547091
1 4 5 104.46551173566
1 4 6 288.439251848468
1 4 7 157.928948444818
1 4 8 205.083246151269
1 5 1 186.416905588526
1 5 1 190.324366571146
1 5 2 277.65269623292
1 5 4 213.599490913035
1 5 5 258.243966247719
1 5 3 159.018632847081
1 5 6 130.551858422007
1 5 7 190.809669925391
1 6 1 357.890995132257
1 6 2 93.8574282820467
1 6 3 106.20892740472
1 6 4 290.342618183263
1 6 5 183.274156487222
1 6 6 142.217479436038
1 6 7 259.278070712177
1 6 8 129.721205670132
1 6 9 416.513130931328
1 7 1 148.575366921308
1 7 2 304.772177043749
1 7 3 150.472378807456
1 7 9 283.694874285472
1 7 8 227.91276512281
1 7 4 281.490017678607
1 7 7 314.144670530667
1 7 6 284.78975062076
1 7 10 327.583749420443
1 8 1 167.241857302277
1 8 6 408.568167884413
1 8 7 245.504908605146
1 8 5 192.464200502484
1 8 2 152.787023026627
1 8 8 534.426915211259
1 8 10 264.780883878965
1 8 4 221.764014719814
1 8 3 266.082353381488
1 8 11 239.759057860862
1 9 1 112.493580056287
1 9 3 464.232323195871
1 9 2 195.679191088663
1 9 4 198.624060583204
1 9 5 156.455589275371
1 9 6 384.613490663852
1 9 7 279.179070398423
1 10 1 149.51033604503
1 10 2 247.210349846959
1 10 4 277.47226801555
1 10 3 207.393576575919
1 10 5 254.983269998487
1 10 6 230.230486125693
1 10 7 331.330373627946
1 10 5 127.39736190562
1 10 9 397.68972181564
1 10 10 227.320677948874
1 11 1 218.900326306998
1 11 2 174.407893682333
1 11 3 98.7939983048574
1 11 5 136.024553801755
1 11 6 183.047670541489
1 11 7 130.787901741715
1 11 8 173.325781240955
1 11 4 254.258395500517
1 11 9 118.385599474499
1 12 1 209.692455965428
1 12 2 175.183714489212
1 12 3 118.622798058332
1 12 4 200.45550898629
1 12 6 382.917630058507
1 12 8 152.105722681841
1 13 1 231.167442639852
1 13 3 218.242538374361
1 13 4 362.055553063672
1 13 5 214.030565305974
1 13 2 170.209383906518
1 13 6 275.386676915685
1 13 7 187.418587889144
1 13 8 192.878509094449
1 14 1 461.039298731099
1 14 2 179.969651451964
1 14 4 221.029649859623
1 14 6 315.696066539473
